Abies balsamea,Pinaceae
Trillium undulatum,Melanthiaceae
Tsuga canadensis,Pinaceae
Typha angustifolia,Typhaceae
Typha latifolia,Typhaceae
Ulmus americana,Ulmaceae
Urtica dioica,Urticaceae
Utricularia cornuta,Lentibulariaceae
Utricularia geminiscapa,Lentibulariaceae
Utricularia gibba,Lentibulariaceae
Utricularia purpurea,Lentibulariaceae
Utricularia radiata,Lentibulariaceae
Utricularia vulgaris,Lentibulariaceae
Uvularia perfoliata,Colchicaceae
Uvularia sessilifolia,Colchicaceae
Vaccinium angustifolium,Ericaceae
Vaccinium corymbosum,Ericaceae
Vaccinium macrocarpon,Ericaceae
Vaccinium myrtilloides,Ericaceae
Vaccinium oxycoccos,Ericaceae
Vaccinium pallidum,Ericaceae
Veratrum viride,Melanthiaceae
Verbascum thapsus,Scrophulariaceae
Verbena hastata,Verbenaceae
Veronica arvensis,Plantaginaceae
Veronica officinalis,Plantaginaceae
Veronica scutellata,Plantaginaceae
Veronica serpyllifolia,Plantaginaceae
Viburnum sp.,Adoxaceae
Viburnum acerifolium,Adoxaceae
Viburnum dentatum var. lucidum,Adoxaceae
Viburnum lantanoides,Adoxaceae
Viburnum opulus,Adoxaceae
Vicia cracca,Fabaceae
Vicia sativa,Fabaceae
Vicia tetrasperma,Fabaceae
Vinca minor,Apocynaceae
Viola blanda,Violaceae
Viola conspersa,Violaceae
Viola cucullata,Violaceae
Viola lanceolata,Violaceae
Viola macloskeyi,Violaceae
Viola palmata,Violaceae
Viola pubescens,Violaceae
Viola rotundifolia,Violaceae
Viola sagittata,Violaceae
Viola sororia,Violaceae
Vitis aestivalis,Vitaceae
Vitis labrusca,Vitaceae
Vitis riparia,Vitaceae
Woodwardia virginica,Blechnaceae
Xyris difformis,Xyridaceae
Xyris montana,Xyridaceae
Zanthoxylum americanum,Rutaceae
Zizia aurea,Apiaceae
